,season,winner,All_winnings
0,2008,Chennai Super Kings,9
1,2008,Deccan Chargers,2
2,2008,Delhi Daredevils,7
3,2008,Kings XI Punjab,10
4,2008,Kolkata Knight Riders,6
5,2008,Mumbai Indians,7
6,2008,Rajasthan Royals,13
7,2008,Royal Challengers Bangalore,4
8,2009,Chennai Super Kings,8
9,2009,Deccan Chargers,9
10,2009,Delhi Daredevils,10
11,2009,Kings XI Punjab,7
12,2009,Kolkata Knight Riders,3
13,2009,Mumbai Indians,5
14,2009,Rajasthan Royals,6
15,2009,Royal Challengers Bangalore,9
16,2010,Chennai Super Kings,9
17,2010,Deccan Chargers,8
18,2010,Delhi Daredevils,7
19,2010,Kings XI Punjab,4
20,2010,Kolkata Knight Riders,7
21,2010,Mumbai Indians,11
22,2010,Rajasthan Royals,6
23,2010,Royal Challengers Bangalore,8
25,2011,Chennai Super Kings,11
26,2011,Deccan Chargers,6
27,2011,Delhi Daredevils,4
28,2011,Kings XI Punjab,7
29,2011,Kochi Tuskers Kerala,6
30,2011,Kolkata Knight Riders,8
31,2011,Mumbai Indians,10
32,2011,Pune Warriors,4
33,2011,Rajasthan Royals,6
34,2011,Royal Challengers Bangalore,10
35,2012,Chennai Super Kings,10
36,2012,Deccan Chargers,4
37,2012,Delhi Daredevils,11
38,2012,Kings XI Punjab,8
39,2012,Kolkata Knight Riders,12
40,2012,Mumbai Indians,10
41,2012,Pune Warriors,4
42,2012,Rajasthan Royals,7
43,2012,Royal Challengers Bangalore,8
44,2013,Chennai Super Kings,12
45,2013,Delhi Daredevils,3
46,2013,Kings XI Punjab,8
47,2013,Kolkata Knight Riders,6
48,2013,Mumbai Indians,13
49,2013,Pune Warriors,4
50,2013,Rajasthan Royals,11
51,2013,Royal Challengers Bangalore,9
52,2013,Sunrisers Hyderabad,10
53,2014,Chennai Super Kings,10
54,2014,Delhi Daredevils,2
55,2014,Kings XI Punjab,12
56,2014,Kolkata Knight Riders,11
57,2014,Mumbai Indians,7
58,2014,Rajasthan Royals,7
59,2014,Royal Challengers Bangalore,5
60,2014,Sunrisers Hyderabad,6
62,2015,Chennai Super Kings,10
63,2015,Delhi Daredevils,5
64,2015,Kings XI Punjab,3
65,2015,Kolkata Knight Riders,7
66,2015,Mumbai Indians,10
67,2015,Rajasthan Royals,7
68,2015,Royal Challengers Bangalore,8
69,2015,Sunrisers Hyderabad,7
70,2016,Delhi Daredevils,7
71,2016,Gujarat Lions,9
72,2016,Kings XI Punjab,4
73,2016,Kolkata Knight Riders,8
74,2016,Mumbai Indians,7
75,2016,Rising Pune Supergiants,5
76,2016,Royal Challengers Bangalore,9
77,2016,Sunrisers Hyderabad,11
78,2017,Delhi Daredevils,6
79,2017,Gujarat Lions,4
80,2017,Kings XI Punjab,7
81,2017,Kolkata Knight Riders,9
82,2017,Mumbai Indians,12
83,2017,Rising Pune Supergiant,10
84,2017,Royal Challengers Bangalore,3
85,2017,Sunrisers Hyderabad,8
86,2018,Chennai Super Kings,11
87,2018,Delhi Daredevils,5
88,2018,Kings XI Punjab,6
89,2018,Kolkata Knight Riders,9
90,2018,Mumbai Indians,6
91,2018,Rajasthan Royals,7
92,2018,Royal Challengers Bangalore,6
93,2018,Sunrisers Hyderabad,10
95,2019,Chennai Super Kings,10
96,2019,Delhi Capitals,10
97,2019,Kings XI Punjab,6
98,2019,Kolkata Knight Riders,6
99,2019,Mumbai Indians,11
100,2019,Rajasthan Royals,5
101,2019,Royal Challengers Bangalore,5
102,2019,Sunrisers Hyderabad,6
