season,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
2008,9.0,2.0,0.0,7.0,0.0,10.0,0.0,6.0,7.0,0.0,13.0,0.0,0.0,4.0,0.0
2009,8.0,9.0,0.0,10.0,0.0,7.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,9.0,0.0
2010,9.0,8.0,0.0,7.0,0.0,4.0,0.0,7.0,11.0,0.0,6.0,0.0,0.0,8.0,0.0
2011,11.0,6.0,0.0,4.0,0.0,7.0,6.0,8.0,10.0,4.0,6.0,0.0,0.0,10.0,0.0
2012,10.0,4.0,0.0,11.0,0.0,8.0,0.0,12.0,10.0,4.0,7.0,0.0,0.0,8.0,0.0
2013,12.0,0.0,0.0,3.0,0.0,8.0,0.0,6.0,13.0,4.0,11.0,0.0,0.0,9.0,10.0
2014,10.0,0.0,0.0,2.0,0.0,12.0,0.0,11.0,7.0,0.0,7.0,0.0,0.0,5.0,6.0
2015,10.0,0.0,0.0,5.0,0.0,3.0,0.0,7.0,10.0,0.0,7.0,0.0,0.0,8.0,7.0
2016,0.0,0.0,0.0,7.0,9.0,4.0,0.0,8.0,7.0,0.0,0.0,0.0,5.0,9.0,11.0
2017,0.0,0.0,0.0,6.0,4.0,7.0,0.0,9.0,12.0,0.0,0.0,10.0,0.0,3.0,8.0
2018,11.0,0.0,0.0,5.0,0.0,6.0,0.0,9.0,6.0,0.0,7.0,0.0,0.0,6.0,10.0
2019,10.0,0.0,10.0,0.0,0.0,6.0,0.0,6.0,11.0,0.0,5.0,0.0,0.0,5.0,6.0
